,year,R10mm,CDD,CWD,WD,SDII
0,1982,14,51,2,14,41.30714285714286
1,1983,16,152,3,16,42.33375
2,1984,5,110,1,5,77.066
3,1985,12,92,2,12,39.79666666666667
4,1986,10,84,2,10,41.36300000000001
5,1987,19,51,2,19,34.165789473684214
6,1988,25,120,3,25,32.39920000000001
7,1989,27,86,4,27,27.764444444444447
8,1990,26,125,5,26,32.63384615384615
9,1991,14,148,3,14,35.27928571428571
10,1992,16,159,5,16,30.479374999999997
11,1993,34,57,4,34,26.83970588235294
12,1994,21,74,2,21,35.14333333333333
13,1995,21,75,6,21,26.33666666666667
14,1996,24,103,3,24,27.506666666666664
15,1997,19,79,3,19,36.008421052631576
16,1998,29,122,3,29,32.81172413793103
17,1999,19,92,2,19,33.62842105263158
18,2000,22,79,5,22,31.854090909090907
19,2001,16,86,2,16,37.954375000000006
20,2002,16,75,3,16,37.181875
21,2003,21,63,2,21,31.93857142857143
22,2004,20,101,3,20,34.841
23,2005,35,74,4,35,30.143428571428572
24,2006,33,67,7,33,35.50636363636364
25,2007,31,105,5,31,27.234516129032258
26,2008,21,80,6,21,32.061904761904756
27,2009,27,74,4,27,27.805555555555557
28,2010,32,56,4,32,28.7475
29,2011,20,73,5,20,35.28150000000001
30,2012,14,110,2,14,42.08
31,2013,27,96,2,27,32.13962962962963
32,2014,24,36,4,24,29.025833333333335
33,2015,20,39,3,20,32.996
34,2016,22,84,4,22,31.154090909090915
35,2017,22,132,3,22,30.83772727272727
36,2018,7,152,2,7,59.034285714285716
37,2019,30,104,3,30,28.072333333333336
38,2020,35,84,4,35,28.535428571428575
39,2021,15,68,2,15,44.96933333333333
